STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,YEAR,MONTH,FLAG,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2010,6,1,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2010,7,1,883,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2010,8,1,2125,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2010,9,1,192,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2010,10,1,196,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,6,1,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,7,1,240,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,8,1,740,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,9,1,475,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,10,1,371,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,11,1,536,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2011,12,1,84,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2012,8,1,582,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2012,9,1,501,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2013,8,1,561,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,2013,9,1,350,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,1,1,56,0,0,244,0,0,-78,0,0,80,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,2,1,183,0,0,228,0,0,-44,0,0,84,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,3,1,257,0,0,250,0,0,-22,0,0,110,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,4,1,0,0,0,328,0,0,11,0,0,169,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,5,1,13,0,0,367,0,0,22,0,0,202,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,6,1,346,0,0,378,0,0,100,0,0,241,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,7,1,1658,0,0,344,0,0,133,0,0,235,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,8,1,1129,0,0,356,0,0,144,0,0,243,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,9,1,484,0,0,361,0,0,100,0,0,223,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,10,1,767,0,0,328,0,0,33,0,0,154,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,11,1,440,0,0,206,11,11,50,11,11,124,11,11
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1914,12,1,1234,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,1,1,666,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,2,1,255,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,3,1,313,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,4,1,234,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,5,1,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,6,1,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,7,1,767,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,8,1,832,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,9,1,506,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,10,1,8,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,11,1,145,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1915,12,1,247,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,1,1,804,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,2,1,168,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,3,1,335,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,4,1,229,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,5,1,86,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,1916,6,1,3,0,0,-9999,0,0,-9999,0,0,-9999,0,0
