STATION,STATION_NAME,YEAR,Month,Flag,AvgOfTPCP,Missing,Consecutive Missing
GHCND:USC00026706,PORTAL AZ US,1930,1,1,280,0,0
GHCND:USC00026706,PORTAL AZ US,1930,2,1,236,0,0
GHCND:USC00026706,PORTAL AZ US,1930,3,1,588,0,0
GHCND:USC00026706,PORTAL AZ US,1930,4,1,203,0,0
GHCND:USC00026706,PORTAL AZ US,1930,5,1,124,0,0
GHCND:USC00026706,PORTAL AZ US,1930,6,1,488,0,0
GHCND:USC00026706,PORTAL AZ US,1930,7,1,1645,0,0
GHCND:USC00026706,PORTAL AZ US,1930,8,1,714,0,0
GHCND:USC00026706,PORTAL AZ US,1930,9,1,203,0,0
GHCND:USC00026706,PORTAL AZ US,1930,10,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1930,11,1,518,0,0
GHCND:USC00026706,PORTAL AZ US,1930,12,1,246,0,0
GHCND:USC00026706,PORTAL AZ US,1931,1,1,322,0,0
GHCND:USC00026706,PORTAL AZ US,1931,2,1,1618,0,0
GHCND:USC00026706,PORTAL AZ US,1931,3,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1931,4,1,307,0,0
GHCND:USC00026706,PORTAL AZ US,1931,5,1,191,0,0
GHCND:USC00026706,PORTAL AZ US,1931,6,1,76,0,0
GHCND:USC00026706,PORTAL AZ US,1931,7,1,572,0,0
GHCND:USC00026706,PORTAL AZ US,1931,8,1,1413,0,0
GHCND:USC00026706,PORTAL AZ US,1931,9,1,832,0,0
GHCND:USC00026706,PORTAL AZ US,1931,10,1,229,0,0
GHCND:USC00026706,PORTAL AZ US,1931,11,1,635,0,0
GHCND:USC00026706,PORTAL AZ US,1931,12,1,394,0,0
GHCND:USC00026706,PORTAL AZ US,1932,1,1,431,0,0
GHCND:USC00026706,PORTAL AZ US,1932,2,1,442,0,0
GHCND:USC00026706,PORTAL AZ US,1932,3,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1932,4,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1932,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1932,6,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1932,7,1,1462,0,0
GHCND:USC00026706,PORTAL AZ US,1932,8,1,1003,0,0
GHCND:USC00026706,PORTAL AZ US,1932,10,1,310,0,0
GHCND:USC00026706,PORTAL AZ US,1932,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1932,12,1,593,0,0
GHCND:USC00026706,PORTAL AZ US,1933,1,1,516,0,0
GHCND:USC00026706,PORTAL AZ US,1933,2,1,495,0,0
GHCND:USC00026706,PORTAL AZ US,1933,3,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1933,4,1,61,0,0
GHCND:USC00026706,PORTAL AZ US,1933,5,1,10,0,0
GHCND:USC00026706,PORTAL AZ US,1933,6,1,325,0,0
GHCND:USC00026706,PORTAL AZ US,1933,7,1,820,0,0
GHCND:USC00026706,PORTAL AZ US,1933,8,1,514,0,0
GHCND:USC00026706,PORTAL AZ US,1933,9,1,553,0,0
GHCND:USC00026706,PORTAL AZ US,1933,10,1,548,0,0
GHCND:USC00026706,PORTAL AZ US,1933,11,1,287,0,0
GHCND:USC00026706,PORTAL AZ US,1933,12,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1934,1,1,51,0,0
GHCND:USC00026706,PORTAL AZ US,1934,2,1,313,0,0
GHCND:USC00026706,PORTAL AZ US,1934,3,1,122,0,0
GHCND:USC00026706,PORTAL AZ US,1934,4,1,182,0,0
GHCND:USC00026706,PORTAL AZ US,1934,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1934,6,1,64,0,0
GHCND:USC00026706,PORTAL AZ US,1934,7,1,539,0,0
GHCND:USC00026706,PORTAL AZ US,1934,8,1,1118,0,0
GHCND:USC00026706,PORTAL AZ US,1934,9,1,348,0,0
GHCND:USC00026706,PORTAL AZ US,1934,10,1,214,0,0
GHCND:USC00026706,PORTAL AZ US,1934,11,1,216,0,0
GHCND:USC00026706,PORTAL AZ US,1934,12,1,683,0,0
GHCND:USC00026706,PORTAL AZ US,1935,1,1,152,0,0
GHCND:USC00026706,PORTAL AZ US,1935,2,1,270,0,0
GHCND:USC00026706,PORTAL AZ US,1935,3,1,142,0,0
GHCND:USC00026706,PORTAL AZ US,1935,4,1,13,0,0
GHCND:USC00026706,PORTAL AZ US,1935,5,1,279,0,0
GHCND:USC00026706,PORTAL AZ US,1935,6,1,68,0,0
GHCND:USC00026706,PORTAL AZ US,1935,7,1,33,0,0
GHCND:USC00026706,PORTAL AZ US,1935,8,1,1567,0,0
GHCND:USC00026706,PORTAL AZ US,1935,9,1,531,0,0
GHCND:USC00026706,PORTAL AZ US,1935,10,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1935,11,1,249,0,0
GHCND:USC00026706,PORTAL AZ US,1935,12,1,363,0,0
GHCND:USC00026706,PORTAL AZ US,1936,1,1,132,0,0
GHCND:USC00026706,PORTAL AZ US,1936,2,1,157,0,0
GHCND:USC00026706,PORTAL AZ US,1936,3,1,162,0,0
GHCND:USC00026706,PORTAL AZ US,1936,4,1,33,0,0
GHCND:USC00026706,PORTAL AZ US,1936,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1936,6,1,28,0,0
GHCND:USC00026706,PORTAL AZ US,1936,7,1,361,0,0
GHCND:USC00026706,PORTAL AZ US,1936,8,1,798,0,0
GHCND:USC00026706,PORTAL AZ US,1936,9,1,779,0,0
GHCND:USC00026706,PORTAL AZ US,1937,1,1,305,0,0
GHCND:USC00026706,PORTAL AZ US,1937,2,1,622,0,0
GHCND:USC00026706,PORTAL AZ US,1937,3,1,482,0,0
GHCND:USC00026706,PORTAL AZ US,1937,4,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1937,5,1,83,0,0
GHCND:USC00026706,PORTAL AZ US,1937,6,1,166,0,0
GHCND:USC00026706,PORTAL AZ US,1937,7,1,474,0,0
GHCND:USC00026706,PORTAL AZ US,1937,8,1,358,0,0
GHCND:USC00026706,PORTAL AZ US,1937,9,1,615,0,0
GHCND:USC00026706,PORTAL AZ US,1937,10,1,551,0,0
GHCND:USC00026706,PORTAL AZ US,1937,11,1,13,0,0
GHCND:USC00026706,PORTAL AZ US,1937,12,1,571,0,0
GHCND:USC00026706,PORTAL AZ US,1938,1,1,188,0,0
GHCND:USC00026706,PORTAL AZ US,1938,2,1,277,0,0
GHCND:USC00026706,PORTAL AZ US,1938,3,1,279,0,0
GHCND:USC00026706,PORTAL AZ US,1938,4,1,41,0,0
GHCND:USC00026706,PORTAL AZ US,1938,5,1,3,0,0
GHCND:USC00026706,PORTAL AZ US,1938,6,1,178,0,0
GHCND:USC00026706,PORTAL AZ US,1938,7,1,760,0,0
GHCND:USC00026706,PORTAL AZ US,1938,8,1,479,0,0
GHCND:USC00026706,PORTAL AZ US,1938,9,1,827,0,0
GHCND:USC00026706,PORTAL AZ US,1938,10,1,18,0,0
GHCND:USC00026706,PORTAL AZ US,1938,11,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1938,12,1,668,0,0
GHCND:USC00026706,PORTAL AZ US,1939,1,1,48,0,0
GHCND:USC00026706,PORTAL AZ US,1939,2,1,343,0,0
GHCND:USC00026706,PORTAL AZ US,1939,3,1,98,0,0
GHCND:USC00026706,PORTAL AZ US,1939,4,1,146,0,0
GHCND:USC00026706,PORTAL AZ US,1939,5,1,0,0,0
GHCND:USC00026706,PORTAL AZ US,1939,6,1,69,0,0
GHCND:USC00026706,PORTAL AZ US,1939,7,1,815,0,0
GHCND:USC00026706,PORTAL AZ US,1939,8,1,642,0,0
