STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20100601,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20100701,883,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20100801,2125,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20100901,192,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20101001,196,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20110601,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20110701,240,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20110801,740,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20110901,475,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20111001,371,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20111101,536,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20111201,84,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20120801,582,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20120901,501,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20130801,561,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1AZCH0033,PORTAL 3.9 SW AZ US,1612.1,31.8814,-109.1958,20130901,350,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140101,56,0,0,244,0,0,-78,0,0,80,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140201,183,0,0,228,0,0,-44,0,0,84,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140301,257,0,0,250,0,0,-22,0,0,110,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140401,0,0,0,328,0,0,11,0,0,169,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140501,13,0,0,367,0,0,22,0,0,202,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140601,346,0,0,378,0,0,100,0,0,241,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140701,1658,0,0,344,0,0,133,0,0,235,0,0
GHCND:USC00026706,PORTAL AZ US,unknown,unknown,unknown,19140801,1129,0,0,356,0,0,144,0,0,243,0,0
